Name,Surname1,Surname2,Gender,TypeStreet,Street,Number,Floor,Door,PostalCode,City,DOB,NHC1,NHC2,CIPA,CellPhone,NSS,MPI,SNS,DNI,Email,Region,Country
MARÍA,ÁLVAREZ,SANZ,F,AVENIDA,PEDRO GARCÍA,330,1,A,28169,LEGANÉS,19500328221332,499756,150290,1430200616,555268363,47/2935956072,6381176,BBBBBBBBDR732544,34962418A,MARIA.ALVAREZ@GMAIL.COM,MADRID,SPAIN
MARÍA,URDANETA,MARTÍNEZ,F,CALLE,JOSÉ GARCÍA,85,5,F,28090,MADRID,19590929172541,384380,351381,1475938764,555816394,13/4492937926,8407960,BBBBBBBBDR500260,61918124P,MARIA.URDANETA@YAHOO.COM,MADRID,SPAIN
MARÍA,GARCÍA,GARCÍA,F,CALLE,SUSANA CONTRERAS,213,1,C,28371,LEGANÉS,20131225205103,750400,539632,1683918614,555581677,81/3120296039,4100557,BBBBBBBBDR738158,84604906G,MARIA.GARCIA@GMAIL.COM,MADRID,SPAIN
FILOMENA,SOLCHAGA,ÁLVAREZ,F,CALLE,JOSÉ LUIS FERNÁNDEZ,325,1,IZQUIERDA,28697,MADRID,19810608125502,616474,502982,1784196144,555813922,60/7256704506,9397873,BBBBBBBBDR387372,22138519F,FILOMENA.SOLCHAGA@GMAIL.COM,MADRID,SPAIN
MARÍA,SANZ,SANZ,F,CALLE,ANTONIO LÓPEZ,120,2,E,28441,PINTO,19911105222826,646843,152092,1516981315,555685871,34/7928436089,2022961,BBBBBBBBDR265754,78229435H,MARIA.SANZ@GMAIL.COM,MADRID,SPAIN
ANTONIO,CONTRERAS,MARTÍNEZ,M,CALLE,MARÍA TORRES,219,2,A,28751,MADRID,20110624043548,547142,593731,1029425062,555649967,91/1771785497,7177843,BBBBBBBBDR252888,18418858K,ANTONIO.CONTRERAS@GMAIL.COM,MADRID,SPAIN
PETRONILA,URDANETA,GARCÍA,F,AVENIDA,MARÍA OLIVA,202,3,A,28255,MADRID,20120611115932,411228,444467,1778411235,555564336,35/3679238063,5935893,BBBBBBBBDR483225,71294025M,PETRONILA.URDANETA@GMAIL.COM,MADRID,SPAIN
JOSÉ LUIS,SOLCHAGA,FERNÁNDEZ,M,AVENIDA,MARÍA SANZ,259,8,E,28987,MADRID,19681006010254,545280,637798,1568194859,555502836,71/7455589206,3933415,BBBBBBBBDR957915,69217813A,JOSE-LUIS.SOLCHAGA@MSN.COM,MADRID,SPAIN
LUIS,GARCÍA,GARCÍA,M,CALLE,ANA DOMÍNGUEZ,97,1,E,28888,MADRID,19851001101057,206122,522645,1814911042,555215669,97/2215419954,970079,BBBBBBBBDR102918,08814872F,LUIS.GARCIA@GMAIL.COM,MADRID,SPAIN
MARIO,LÓPEZ,ROJO,M,CALLE,PEDRO URDANETA,22,2,D,28211,MADRID,19491210143532,296843,886352,1380391107,555271370,23/6685943405,1298158,BBBBBBBBDR364022,82866008K,MARIO.LOPEZ@GMAIL.COM,MADRID,SPAIN
